id,rerata_kecepatan
0,41.50401659030914
1,41.51971443643569
2,34.982293716502184
3,40.73999282956123
4,32.62272903943062
5,29.58605543732643
6,39.049947337388986
7,31.100333865666386
8,28.16408716936111
9,39.120017442512506
10,37.30619914212227
11,45.6280489780426
12,38.50535648460388
13,35.55226073799133
14,33.14707986524105
15,35.377744231796264
16,33.545971033930776
17,42.50463116898536
18,33.33839574501514
19,42.7333601047039
20,36.28881542787551
21,34.27057955060005
22,26.482668149042127
23,25.27224714839458
24,36.01249402663707
25,42.308857342815394
26,38.741519650697704
27,39.14904161095619
28,32.86591606292724
29,44.23473338298797
30,35.72137328009605
31,40.60536457629203
32,42.280895824384686
33,35.598084280014035
34,35.312255184960364
35,26.34030328531265
36,43.98909276108741
37,34.1996519819498
38,35.84566013445854
39,44.40276167650222
40,40.912556824350354
41,30.31778500499725
42,38.115441684722896
43,32.52911432497501
44,33.53357777016163
45,37.14119464945793
46,36.24155774030685
47,38.816207531690594
48,38.122564895582194
49,30.80399274294376
50,34.81466283681392
51,38.102555973386764
52,44.265519995355604
53,45.62336208672523
54,39.457827834033964
55,32.99209711253643
56,36.88806796059608
57,46.46616881875991
58,34.972963131022446
59,39.01908728985786
60,43.750056984186166
61,36.29881124954223
62,36.47017004370689
63,38.33909495472908
64,31.61185297658443
65,42.956032799291606
66,37.20837486491203
67,29.66389023106098
68,38.84254915680885
69,39.13329624795913
70,38.97315143523216
71,37.36174204401969
72,19.05515925107002
73,36.732268781661986
74,41.11283611378669
75,36.628565371656414
76,28.60717118747234
77,24.924332942318912
78,33.01228098320961
79,42.53452360024452
80,46.248602027893064
81,37.99706420116424
82,35.66745243136882
83,28.502193461394306
84,35.593701928639405
85,39.09034099702835
86,40.28161485872268
87,42.41060824141502
88,38.36335447697639
89,32.84340602545738
90,37.34097285189628
91,38.010407802343366
92,41.18913524866104
93,38.00315068030357
94,36.11810675089359
95,35.23964940683841
96,34.310670830154415
97,48.12731541423797
98,40.28273798475265
99,31.596070896005628
100,41.09868040609359
101,35.11504937310218
102,30.712025999951358
103,45.45021493034362
104,39.360785425329205
105,44.406351360082624
106,38.57198377647399
107,37.92391845860481
108,36.358479479742044
109,40.40058846302032
110,38.103592705106735
111,43.965813814258574
112,33.630265962195395
113,41.31854096589088
114,36.223069357967375
115,39.961005574321746
116,35.90369335234165
117,44.53134664778709
118,31.13099088656902
119,46.958538630867
120,27.398823650264738
121,42.93359187726974
122,35.54208132841587
123,44.54016318712234
124,36.945809597682945
125,32.86160714671612
126,42.27394972186088
127,33.584474818038935
128,39.60109119858741
129,44.49593362011909
130,44.62922276158332
131,39.15490778460502
132,48.3634137845993
133,33.098433389139174
134,40.80515141816139
135,40.116333904266355
136,34.529635048985476
137,26.559619560956953
138,45.7413464761734
139,43.28043047418594
140,36.674566022014616
141,15.575534462106226
142,37.22636216025352
143,36.780278099727624
144,38.76407720503806
145,38.359203230381006
146,36.71005680456161
147,35.78781266434192
148,35.586991250610346
149,43.24959634494781
150,36.96008625741005
151,35.78851029839515
152,32.6993240748167
153,42.21495968699455
154,32.708771292614934
155,34.234989414596555
156,35.393528472232816
157,38.449563039207455
158,38.71910464696884
159,40.396994459724425
160,38.878528067207334
161,48.06051533374786
162,42.25626912631988
163,37.58961135635376
164,35.963627245044705
165,43.42979759674072
166,44.22384338021278
167,37.75934593749046
168,46.10635811619758
169,33.9996513141632
170,45.261905572557446
171,24.345959754467007
172,34.68790294532776
173,28.682794286870955
174,34.253730500292775
175,38.21762023515701
176,35.36890393402576
177,37.039620859193796
178,32.25822064626217
179,41.65699067530632
180,39.47317578320503
181,40.41629494857788
182,38.75391291446685
183,42.963929239225386
184,36.973200913667675
185,34.288521488928794
186,45.25329637956619
187,47.83735883102416
188,28.818662298488615
189,41.548501020526885
190,37.236016724395746
191,29.69173079745769
192,37.35761239600181
193,35.974957858800884
194,34.03748122265338
195,35.12242744717597
196,38.90845073647499
197,47.03261743197441
198,41.84541234569549
199,34.7746644311428
200,43.63247864799499
201,29.617898220133778
202,35.07833611106872
203,44.16185978250503
204,39.2228612291336
205,36.685542419099804
206,33.20303745982647
207,36.94599966516494
208,29.677365583562846
209,45.212056055688855
210,20.740100999379155
211,41.16650857887267
212,34.484094448328015
213,32.066505192804335
214,37.79203754439354
215,33.29340158836841
216,16.531665690493583
217,38.58296881299018
218,28.28095059263706
219,47.942552542877195
220,37.463924914169304
221,27.375918358826635
222,37.09191533503532
223,38.12625393261909
224,36.14215460708141
225,45.24362885627746
226,36.22970012125968
227,41.89999195103645
228,45.04698676729202
229,35.32824245202541
230,34.23816656534672
231,42.90889606375694
232,34.801857040214536
233,38.60290430002212
234,35.236539211678505
235,34.17672725179195
236,44.09076590480804
237,34.957498549532886
